Vgs_at_Vds_0.4V,Square_root_of_Id,Vgs_at_Vds_0.5V,Square_root_of_Id,Vgs_at_Vds_0.6V,Square_root_of_Id,Vgs_at_Vds_0.7V,Square_root_of_Id,Vgs_at_Vds_0.8V,Square_root_of_Id
0,3.965085583676933e-06,0,4.153888072595538e-06,0,4.33447442643515e-06,0,4.573428753218233e-06,0,5.978253968930193e-06
0.016,5.119510069314852e-06,0.016,5.360118783425182e-06,0.016,5.603268153606885e-06,0.016,5.902663873133508e-06,0.016,6.820817885296842e-06
0.032,6.629910538953465e-06,0.032,6.932672160259458e-06,0.032,7.235116139328634e-06,0.032,7.566810848683379e-06,0.032,8.261046233286509e-06
0.048,8.601595809066429e-06,0.048,8.987824855390152e-06,0.048,9.371338538523196e-06,0.048,9.770303937933401e-06,0.048,1.037447999347539e-05
0.064,1.11714150425086e-05,0.064,1.16681636217856e-05,0.064,1.215984586502492e-05,0.064,1.266017624994882e-05,0.064,1.327521564388797e-05
0.08,1.451776417188388e-05,0.08,1.515970292773075e-05,0.08,1.579399186541436e-05,0.08,1.64337382830212e-05,0.08,1.713872179339866e-05
0.096,1.887292385582172e-05,0.096,1.970474943164848e-05,0.096,2.052587371140373e-05,0.096,2.135112182637433e-05,0.096,2.221611871412628e-05
0.112,2.453906690178947e-05,0.112,2.561859133788747e-05,0.112,2.66836517722279e-05,0.112,2.775248680743801e-05,0.112,2.884932197152574e-05
0.128,3.190896551579327e-05,0.128,3.331108366679807e-05,0.128,3.469397764635031e-05,0.128,3.608086736675086e-05,0.128,3.749194774930832e-05
0.144,4.149265131075395e-05,0.144,4.33144238723292e-05,0.144,4.511085199604004e-05,0.144,4.691187829595268e-05,0.144,4.873811976383807e-05
0.16,5.395147210284691e-05,0.16,5.631859496115357e-05,0.16,5.865241093245677e-05,0.16,6.099171191765859e-05,0.16,6.336055112748474e-05
0.176,7.014102395541808e-05,0.176,7.321595456541236e-05,0.176,7.624710498465189e-05,0.176,7.928481271190381e-05,0.176,8.235901945649161e-05
0.1920000000000001,9.11640301134721e-05,0.1920000000000001,9.515595225224143e-05,0.1920000000000001,9.909013904297371e-05,0.1920000000000001,0.0001030319321476068,0.1920000000000001,0.0001070195834315476
0.2080000000000001,0.0001184327896787564,0.2080000000000001,0.0001236093031683131,0.2080000000000001,0.0001287091613771481,0.2080000000000001,0.0001338171505650137,0.2080000000000001,0.0001389825643476643
0.2240000000000001,0.0001537371698803722,0.2240000000000001,0.0001604368778838023,0.2240000000000001,0.000167033668057997,0.2240000000000001,0.0001736374491123604,0.2240000000000001,0.0001803118345068886
0.2400000000000001,0.0001993063486683403,0.2400000000000001,0.0002079500607784833,0.2400000000000001,0.0002164533023328306,0.2400000000000001,0.0002249583146048442,0.2400000000000001,0.0002335470328903496
0.2560000000000001,0.000257838413851175,0.2560000000000001,0.0002689342269869638,0.2560000000000001,0.0002798341355351705,0.2560000000000001,0.0002907218005833318,0.2560000000000001,0.0003017023564708474
0.2720000000000001,0.0003324518821232243,0.2720000000000001,0.0003465864190647228,0.2720000000000001,0.0003604411347517886,0.2720000000000001,0.0003742525187690662,0.2720000000000001,0.0003881548502379136
0.2880000000000001,0.0004264980280034877,0.2880000000000001,0.0004443051915834913,0.2880000000000001,0.0004617045800844713,0.2880000000000001,0.0004789999003740356,0.2880000000000001,0.000496361965515377
0.3040000000000002,0.000543192753356419,0.3040000000000002,0.0005652976184689145,0.3040000000000002,0.0005868031601318419,0.3040000000000002,0.0006080986317873613,0.3040000000000002,0.0006294008830429143
0.3200000000000002,0.0006851157582885415,0.3200000000000002,0.0007120669963211412,0.3200000000000002,0.0007381440592093301,0.3200000000000002,0.0007638450466747881,0.3200000000000002,0.0007894452254500335
0.3360000000000002,0.0008537540658703975,0.3360000000000002,0.0008859727374456873,0.3360000000000002,0.00091694430654353,0.3360000000000002,0.0009473044407586922,0.3360000000000002,0.0009774023770939199
0.3520000000000002,0.001049304706850892,0.3520000000000002,0.001087071471099243,0.3520000000000002,0.001123112905190036,0.3520000000000002,0.001158235804722353,0.3520000000000002,0.001192881592331261
0.3680000000000002,0.001270808633102208,0.3680000000000002,0.001314286762424616,0.3680000000000002,0.001355455012173491,0.3680000000000002,0.001395328416499949,0.3680000000000002,0.001434460479199254
0.3840000000000002,0.00151649132074404,0.3840000000000002,0.001565764786218614,0.3840000000000002,0.001612039514475116,0.3840000000000002,0.001656578184585076,0.3840000000000002,0.001700067069130596
0.4000000000000002,0.001784123111012582,0.4000000000000002,0.001839230997009914,0.4000000000000002,0.001890549476060347,0.4000000000000002,0.001939629825072851,0.4000000000000002,0.001987312043946015
0.4160000000000003,0.002071287173984096,0.4160000000000003,0.00213224719029285,0.4160000000000003,0.002188526978245827,0.4160000000000003,0.002242008754303489,0.4160000000000003,0.002293707302928514
0.4320000000000003,0.002375537202987943,0.4320000000000003,0.00244235944165389,0.4320000000000003,0.002503510743567243,0.4320000000000003,0.002561248346098461,0.4320000000000003,0.002616783048284612
0.4480000000000003,0.002694473801418051,0.4480000000000003,0.002767168559855503,0.4480000000000003,0.002833100323180366,0.4480000000000003,0.002894947950332379,0.4480000000000003,0.002954139900916196
