Vgs,Square_root_of_Id_at_Vbs_0.8V,Vgs,Square_root_of_Id_at_Vbs_0.6V,Vgs,Square_root_of_Id_at_Vbs_0.4V,Vgs,Square_root_of_Id_at_Vbs_0.2V,Vgs,Square_root_of_Id_at_Vbs_0V
0,2.5071334074512e-05,0,2.420471534338141e-05,0,2.317009691071061e-05,0,2.284000133898219e-05,0,2.586102155159658e-05
0.01,2.484870918298849e-05,0.01,2.424993701871066e-05,0.01,2.372188827826463e-05,0.01,2.43172829928453e-05,0.01,2.873518130389478e-05
0.02,2.47186392936215e-05,0.02,2.444931716451058e-05,0.02,2.452558900077233e-05,0.02,2.616700986498357e-05,0.02,3.209239650727658e-05
0.03,2.470725445445488e-05,0.03,2.484077226943321e-05,0.03,2.562888338117668e-05,0.03,2.843650265916231e-05,0.03,3.598730286032172e-05
0.04,2.484643313755434e-05,0.04,2.546790252099074e-05,0.04,2.708233262831953e-05,0.04,3.117516246072456e-05,0.04,4.048185657415236e-05
0.05,2.517417608451728e-05,0.05,2.637934127290506e-05,0.05,2.893843910854035e-05,0.05,3.443555642473796e-05,0.05,4.564647600718352e-05
0.06,2.573456789974233e-05,0.06,2.762770578585874e-05,0.06,3.125118149594259e-05,0.06,3.827483096201601e-05,0.06,5.156110273408176e-05
0.07000000000000001,2.657723472286842e-05,0.07000000000000001,2.926841653022313e-05,0.07000000000000001,3.407624113601399e-05,0.07000000000000001,4.275624672445048e-05,0.07000000000000001,5.831616763537003e-05
0.08,2.775634935122584e-05,0.08,3.135877583037073e-05,0.08,3.747193198111948e-05,0.08,4.795066749257651e-05,0.08,6.601342940030514e-05
0.09,2.932943066109319e-05,0.09,3.395767316118521e-05,0.09,4.150065704348576e-05,0.09,5.393788822485275e-05,0.09,7.476662226260896e-05
0.09999999999999999,3.135634035202356e-05,0.09999999999999999,3.712610178182981e-05,0.09999999999999999,4.623061807052615e-05,0.09999999999999999,6.080772301422719e-05,0.09999999999999999,8.470180901549677e-05
0.11,3.389888834740309e-05,0.11,4.092841642107807e-05,0.11,5.173750503421469e-05,0.11,6.866077821740984e-05,0.11,9.595728650983012e-05
0.12,3.702127927869693e-05,0.12,4.543405515359087e-05,0.12,5.810593996394805e-05,0.12,7.760881129562227e-05,0.12,0.0001086828382249284
0.13,4.079134249481565e-05,0.13,5.071935645346215e-05,0.13,6.543049338714848e-05,0.13,8.777453191487585e-05,0.13,0.0001230380817868246
0.14,4.528222516105408e-05,0.14,5.686910900504343e-05,0.14,7.381610530806567e-05,0.14,9.929065432017785e-05,0.14,0.0001391896370081383
0.15,5.057409019482436e-05,0.15,6.397752235021622e-05,0.15,8.337773184157211e-05,0.15,0.0001122979816955176,0.15,0.0001573068712902182
0.16,5.675535794555956e-05,0.16,7.214836223060449e-05,0.16,9.423903200077389e-05,0.16,0.0001269423247983436,0.16,0.0001775560999774843
0.17,6.392311912137336e-05,0.17,8.149405612879882e-05,0.17,0.000106529946020217,0.17,0.0001433701613244562,0.17,0.0002000933574664096
0.18,7.21824858416355e-05,0.18,9.21336687830851e-05,0.18,0.0001203831301703469,0.18,0.0001617231469119021,0.18,0.0002250562037075609
0.19,8.164481975713895e-05,0.19,0.0001041897961322676,0.19,0.0001359294083213431,0.19,0.0001821318711311443,0.19,0.0002525554201079835
0.2,9.242496673535454e-05,0.2,0.0001177846172965268,0.2,0.0001532926360940965,0.2,0.0002047095341028444,0.2,0.0002826677415388848
0.21,0.0001046378039978804,0.21,0.0001330355245680976,0.21,0.0001725845654414793,0.21,0.0002295463849053247,0.21,0.000315430809708009
0.2200000000000001,0.0001183945194177925,0.2200000000000001,0.0001500508500314243,0.2200000000000001,0.0001939003571511593,0.2200000000000001,0.0002567057138349795,0.2200000000000001,0.0003508412300820431
0.2300000000000001,0.0001337990570784075,0.2300000000000001,0.0001689261787253408,0.2300000000000001,0.0002173152758422348,0.2300000000000001,0.0002862219134930978,0.2300000000000001,0.0003888560282443636
0.2400000000000001,0.000150945079163865,0.2400000000000001,0.0001897415925769406,0.2400000000000001,0.0002428828542954488,0.2400000000000001,0.0003181007105426111,0.2400000000000001,0.0004293971286146162
0.2500000000000001,0.00016991365152978,0.2500000000000001,0.0002125599865497413,0.2500000000000001,0.0002706345261926269,0.2500000000000001,0.0003523212703071049,0.2500000000000001,0.0004723579530358316
0.2600000000000001,0.0001907717129570713,0.2600000000000001,0.0002374264109265443,0.2600000000000001,0.0003005804953862222,0.2600000000000001,0.0003888396155091687,0.2600000000000001,0.0005176110085791058
0.2700000000000001,0.0002135712763755108,0.2700000000000001,0.0002643682693118263,0.2700000000000001,0.0003327114881964171,0.2700000000000001,0.0004275927243392215,0.2700000000000001,0.0005650154109497292
0.2800000000000001,0.0002383492481978354,0.2800000000000001,0.0002933961511086169,0.2800000000000001,0.0003670010210727455,0.2800000000000001,0.0004685027493824955,0.2800000000000001,0.0006144235697289558
0.2900000000000001,0.0002651277321385696,0.2900000000000001,0.0003245050829079245,0.2900000000000001,0.0004034078734059277,0.2900000000000001,0.0005114809566539929,0.2900000000000001,0.0006656866081295029
0.3000000000000001,0.0002939146906669156,0.3000000000000001,0.000357676019482733,0.3000000000000001,0.0004418785420811603,0.3000000000000001,0.000556431155201006,0.3000000000000001,0.0007186583965731357
0.3100000000000001,0.0003247048559510801,0.3100000000000001,0.0003928774402899122,0.3100000000000001,0.0004823495394092358,0.3100000000000001,0.0006032525297858755,0.3100000000000001,0.0007731982939910757
0.3200000000000001,0.0003574808033877635,0.3200000000000001,0.0004300669588656115,0.3200000000000001,0.0005247494637359189,0.3200000000000001,0.0006518418863220697,0.3200000000000001,0.0008291728074598047
0.3300000000000001,0.0003922141200981457,0.3300000000000001,0.0004691928852704402,0.3300000000000001,0.0005690008186370483,0.3300000000000001,0.0007020953743705253,0.3300000000000001,0.0008864564197238547
0.3400000000000001,0.0004288666167427519,0.3400000000000001,0.0005101957054194756,0.3400000000000001,0.0006150215849042184,0.3400000000000001,0.0007539097735544005,0.3400000000000001,0.0009449318230359404
0.3500000000000001,0.000467391543742679,0.3500000000000001,0.0005530094572901674,0.3500000000000001,0.0006627265644008227,0.3500000000000001,0.0008071834328365108,0.3500000000000001,0.00100448976105992
0.3600000000000002,0.0005077347830280915,0.3600000000000002,0.0005975629946083537,0.3600000000000002,0.0007120285210062388,0.3600000000000002,0.0008618169427068338,0.3600000000000002,0.001065028635621796
0.3700000000000002,0.0005498359943204261,0.3700000000000002,0.0006437811353724624,0.3700000000000002,0.0007628391448757329,0.3700000000000002,0.0009177136069439185,0.3700000000000002,0.001126453992026694
0.3800000000000002,0.0005936297011309221,0.3800000000000002,0.0006915856967521303,0.3800000000000002,0.0008150698645666739,0.3800000000000002,0.0009747797666043338,0.3800000000000002,0.001188677960274894
0.3900000000000002,0.0006390463063229102,0.3900000000000002,0.0007408964202435886,0.3900000000000002,0.0008686325286146352,0.3900000000000002,0.001032925016120342,0.3900000000000002,0.001251618701086849
0.4000000000000002,0.0006860130286012044,0.4000000000000002,0.0007916317903535626,0.4000000000000002,0.0009234399731864277,0.4000000000000002,0.001092062339186552,0.4000000000000002,0.001315199883381443
0.4100000000000002,0.0007344547523799966,0.4100000000000002,0.0008437097494353163,0.4100000000000002,0.0009794064886000547,0.4100000000000002,0.001152108183570972,0.4100000000000002,0.001379350206081416
0.4200000000000002,0.0007842948264652167,0.4200000000000002,0.0008970483474014616,0.4200000000000002,0.00103644822604295,0.4200000000000002,0.001212982514411655,0.4200000000000002,0.001444002989918561
0.4300000000000002,0.0008354557730136897,0.4300000000000002,0.0009515662975543366,0.4300000000000002,0.001094483523340772,0.4300000000000002,0.001274608827056718,0.4300000000000002,0.001509095810897663
0.4400000000000002,0.0008878598961458642,0.4400000000000002,0.001007183435438264,0.4400000000000002,0.001153433152522653,0.4400000000000002,0.001336914123711348,0.4400000000000002,0.001574570172117116
0.4500000000000002,0.0009414298270059218,0.4500000000000002,0.001063821115892654,0.4500000000000002,0.001213220520998976,0.4500000000000002,0.001399828878242157,0.4500000000000002,0.00164037122282261
0.4600000000000002,0.0009960890002852973,0.4600000000000002,0.001121402546966969,0.4600000000000002,0.001273771826636778,0.4600000000000002,0.00146328698723902,0.4600000000000002,0.001706447514051293
0.4700000000000003,0.001051762064281888,0.4700000000000003,0.001179853064877793,0.4700000000000003,0.001335016171194806,0.4700000000000003,0.00152722570884229,0.4700000000000003,0.001772750784185549
0.4800000000000003,0.001108375228898645,0.4800000000000003,0.001239100355593224,0.4800000000000003,0.001396885637234935,0.4800000000000003,0.001591585591260228,0.4800000000000003,0.001839235769044094
0.4900000000000003,0.001165856556317533,0.4900000000000003,0.001299074628469028,0.4900000000000003,0.001459315333153157,0.4900000000000003,0.001656310392574246,0.4900000000000003,0.001905860031891486
0.5000000000000002,0.001224136199167215,0.5000000000000002,0.001359708747075435,0.5000000000000002,0.001522243410502956,0.5000000000000002,0.001721346993182488,0.5000000000000002,0.001972583809485965
0.5100000000000002,0.001283146590978375,0.5100000000000002,0.001420938322047302,0.5100000000000002,0.00158561105737307,0.5100000000000002,0.001786645302070591,0.5100000000000002,0.002039369870986905
0.5200000000000002,0.001342822593619471,0.5200000000000002,0.001482701770476285,0.5200000000000002,0.001649362471219642,0.5200000000000002,0.001852158157990747,0.5200000000000002,0.002106183387175579
0.5300000000000002,0.001403101606245872,0.5300000000000002,0.00154494034604647,0.5300000000000002,0.001713444814228339,0.5300000000000002,0.00191784122655209,0.5300000000000002,0.002172991807991586
0.5400000000000003,0.001463923640091186,0.5400000000000003,0.001607598143798308,0.5400000000000003,0.001777808153986659,0.5400000000000003,0.001983652894161672,0.5400000000000003,0.002239764746849187
0.5500000000000003,0.001525231363193843,0.5500000000000003,0.001670622083093456,0.5500000000000003,0.001842405391975063,0.5500000000000003,0.002049554159697327,0.5500000000000003,0.002306473870577504
0.5600000000000003,0.001586970118895832,0.5600000000000003,0.001733961872048955,0.5600000000000003,0.001907192182134888,0.5600000000000003,0.002115508524736406,0.5600000000000003,0.002373092794134125
0.5700000000000003,0.001649087921683323,0.5700000000000003,0.001797569956416324,0.5700000000000003,0.001972126841539016,0.5700000000000003,0.002181481883106468,0.5700000000000003,0.002439596979482823
0.5800000000000003,0.001711535433667591,0.5800000000000003,0.001861401455601689,0.5800000000000003,0.00203717025497686,0.5800000000000003,0.002247442410464113,0.5800000000000003,0.00250596363821277
0.5900000000000003,0.001774265924733915,0.5900000000000003,0.001925414088257556,0.5900000000000003,0.00210228577506623,0.5900000000000003,0.002313360454546589,0.5900000000000003,0.002572171637617541
0.6000000000000003,0.001837235219115819,0.6000000000000003,0.001989568089622661,0.6000000000000003,0.002167439119317732,0.6000000000000003,0.002379208426676451,0.6000000000000003,0.002638201410055704
0.6100000000000003,0.001900401630880419,0.6100000000000003,0.002053826122540089,0.6100000000000003,0.002232598265398845,0.6100000000000003,0.002444960695031848,0.6100000000000003,0.002704034865487163
0.6200000000000003,0.001963725890536457,0.6200000000000003,0.002118153183842551,0.6200000000000003,0.002297733345671814,0.6200000000000003,0.002510593480123353,0.6200000000000003,0.002769655307126778
0.6300000000000003,0.00202717106470641,0.6300000000000003,0.002182516507561569,0.6300000000000003,0.002362816541914844,0.6300000000000003,0.002576084752846331,0.6300000000000003,0.002835047350185431
0.6400000000000003,0.002090702470552935,0.6400000000000003,0.002246885466206231,0.6400000000000003,0.00242782198098806,0.6400000000000003,0.002641414135410619,0.6400000000000003,0.002900196843684465
0.6500000000000004,0.002154287586433479,0.6500000000000004,0.002311231471177752,0.6500000000000004,0.002492725632081198,0.6500000000000004,0.002706562805392072,0.6500000000000004,0.002965090795337303
0.6600000000000004,0.002217895960071742,0.6600000000000004,0.002375527873234774,0.6600000000000004,0.00255750520607562,0.6600000000000004,0.002771513403101068,0.6600000000000004,0.003029717299493737
0.6700000000000004,0.002281499115365829,0.6700000000000004,0.002439749863787799,0.6700000000000004,0.002622140057459358,0.6700000000000004,0.002836249942417092,0.6700000000000004,0.003094065468138495
0.6800000000000004,0.002345070458792601,0.6800000000000004,0.002503874377673421,0.6800000000000004,0.002686611089146628,0.6800000000000004,0.002900757725194593,0.6800000000000004,0.003158125364928136
0.6900000000000004,0.002408585186219512,0.6900000000000004,0.002567879997942715,0.6900000000000004,0.002750900660474622,0.6900000000000004,0.002965023259305388,0.6900000000000004,0.003221887942240322
0.7000000000000004,0.002472020190801599,0.7000000000000004,0.002631746863094472,0.7000000000000004,0.002814992498580883,0.7000000000000004,0.003029034180347211,0.7000000000000004,0.003285344981198956
0.7100000000000004,0.002535353972522148,0.7100000000000004,0.002695456577092972,0.7100000000000004,0.002878871613304201,0.7100000000000004,0.003092779177016633,0.7100000000000004,0.003348489034627802
0.7200000000000004,0.002598566549830255,0.7200000000000004,0.002758992122430185,0.7200000000000004,0.00294252421569952,0.7200000000000004,0.003156247920117732,0.7200000000000004,0.003411313372875124
0.7300000000000004,0.002661639373735512,0.7300000000000004,0.002822337776423162,0.7300000000000004,0.003005937640212641,0.7300000000000004,0.00321943099515471,0.7300000000000004,0.003473811932442226
0.7400000000000004,0.002724555244639234,0.7400000000000004,0.002885479030877746,0.7400000000000004,0.003069100270522251,0.7400000000000004,0.003282319838437309,0.7400000000000004,0.003535979267340639
0.7500000000000004,0.002787298232111067,0.7500000000000004,0.002948402515198686,0.7500000000000004,0.003132001469024999,0.7500000000000004,0.003344906676611981,0.7500000000000004,0.003597810503095401
0.7600000000000005,0.002849853597759283,0.7600000000000005,0.003011095922983015,0.7600000000000005,0.003194631509912587,0.7600000000000005,0.003407184469518742,0.7600000000000005,0.003659301293306115
0.7700000000000005,0.002912207721291111,0.7700000000000005,0.003073547942097259,0.7700000000000005,0.003256981515768281,0.7700000000000005,0.003469146856263627,0.7700000000000005,0.003720447778672783
